voteratio,NtoA_ratio,NtoB_ratio,AtoB_ratio,BtoA_ratio,A得票率,B得票率,逆転,投票率
56.3,24.17,75.83,2.2,3.59,53.19,46.81,0,78.15
45.83,21.87,78.13,8.71,2.21,51.15,48.85,0,72.92
51.09,16.22,83.78,2.04,2.55,51.38,48.62,0,75.55
47.44,22.8,77.2,1.37,1.07,54.38,45.62,0,73.72
44.3,15.82,84.18,5.09,1.17,51.14,48.86,0,72.15
59.74,19.58,80.42,9.54,1.96,47.33,52.67,1,79.87
51.17,21.62,78.38,3.97,4.4,52.66,47.34,0,75.58
40.4,18.18,81.82,5.35,1.47,52.73,47.27,0,70.2
45.04,22.22,77.78,6.16,3.61,52.94,47.06,0,72.52
53.31,21.39,78.61,8.99,4.27,49.83,50.17,1,76.65
56.26,15.57,84.43,6.62,1.66,47.76,52.24,1,78.13
45.56,16.87,83.13,4.09,3.62,52.15,47.85,0,72.78
42.55,19.49,80.51,2.46,4.27,54.61,45.39,0,71.28
46.53,19.1,80.9,6.16,3.59,51.63,48.37,0,73.26
47.78,24.05,75.95,7.48,2.09,52.03,47.97,0,73.89
54.96,21.45,78.55,9.47,1.65,48.82,51.18,1,77.48
55.6,16.57,83.43,9.62,1.84,46.93,53.07,1,77.8
50.26,17.99,82.01,1.96,2.45,52.18,47.82,0,75.13
48.96,16.86,83.14,4.61,1.27,50.62,49.38,0,74.48
48.66,21.54,78.46,0.65,0.03,53.84,46.16,0,74.33
58.77,23.77,76.23,6.58,4.38,50.82,49.18,0,79.38
43.69,17.84,82.16,9.36,3.54,50.32,49.68,0,71.85
40.45,17.7,82.3,7.43,2.75,51.82,48.18,0,70.22
47.78,20.69,79.31,1.51,3.11,53.97,46.03,0,73.89
55.62,20.15,79.85,7.1,2.7,49.51,50.49,1,77.81
45.8,21.6,78.4,6.48,0.25,51.74,48.26,0,72.9
50.59,19.07,80.93,5.08,0.6,50.65,49.35,0,75.29
43.62,18.88,81.12,0.38,3.55,55.03,44.97,0,71.81
40.64,17.99,82.01,2.67,3.58,54.41,45.59,0,70.32
53.83,18.92,81.08,7.7,0.29,48.68,51.32,1,76.91
45.78,19.31,80.69,0.44,3.87,54.67,45.33,0,72.89
58.3,21.0,79.0,5.61,0.52,49.57,50.43,1,79.15
50.27,24.19,75.81,5.91,0.09,51.94,48.06,0,75.14
43.49,20.49,79.51,4.36,1.97,53.28,46.72,0,71.75
53.36,20.26,79.74,3.45,2.12,51.53,48.47,0,76.68
51.29,16.28,83.72,8.31,3.81,48.7,51.3,1,75.65
46.32,20.06,79.94,5.07,3.37,52.45,47.55,0,73.16
57.39,20.29,79.71,5.34,2.51,49.98,50.02,1,78.69
57.95,21.74,78.26,7.72,1.15,49.09,50.91,1,78.97
53.88,20.27,79.73,1.28,3.48,52.69,47.31,0,76.94
55.96,18.72,81.28,1.41,1.15,51.19,48.81,0,77.98
45.95,23.38,76.62,4.8,3.08,53.65,46.35,0,72.98
43.1,20.16,79.84,9.77,1.49,50.52,49.48,0,71.55
54.92,24.28,75.72,9.26,2.37,50.07,49.93,0,77.46
45.24,20.24,79.76,1.26,3.91,54.7,45.3,0,72.62
54.37,23.14,76.86,3.37,0.12,51.99,48.01,0,77.18
40.33,24.29,75.71,1.44,2.18,56.61,43.39,0,70.17
52.64,23.67,76.33,5.35,0.86,51.74,48.26,0,76.32
58.58,17.56,82.44,2.89,0.11,49.37,50.63,1,79.29
49.98,20.3,79.7,8.28,4.22,50.42,49.58,0,74.99
48.09,19.3,80.7,3.98,4.0,52.47,47.53,0,74.04
49.15,23.13,76.87,1.45,4.98,54.88,45.12,0,74.58
58.95,19.69,80.31,7.47,2.43,48.51,51.49,1,79.48
58.53,24.14,75.86,9.53,1.31,49.11,50.89,1,79.27
44.67,21.6,78.4,5.9,1.2,52.45,47.55,0,72.34
50.81,20.12,79.88,8.44,3.3,49.94,50.06,1,75.4
41.59,22.78,77.22,7.95,1.34,52.48,47.52,0,70.79
48.19,15.63,84.37,0.98,3.0,52.46,47.54,0,74.09
56.46,21.89,78.11,6.13,0.28,49.95,50.05,1,78.23
46.75,23.15,76.85,3.63,1.53,53.65,46.35,0,73.38
53.35,16.42,83.58,7.7,3.98,48.62,51.38,1,76.67
47.97,20.77,79.23,1.1,3.2,54.17,45.83,0,73.98
44.4,17.61,82.39,4.99,2.74,52.04,47.96,0,72.2
50.98,18.82,81.18,6.48,1.0,49.91,50.09,1,75.49
44.02,22.86,77.14,3.58,1.36,54.13,45.87,0,72.01
47.96,23.13,76.87,6.73,0.8,51.78,48.22,0,73.98
56.72,21.17,78.83,7.02,4.57,50.07,49.93,0,78.36
52.14,16.23,83.77,3.5,1.6,50.28,49.72,0,76.07
44.76,16.33,83.67,3.03,4.16,52.8,47.2,0,72.38
40.55,23.87,76.13,2.32,1.47,55.85,44.15,0,70.27
48.56,21.16,78.84,8.06,0.82,50.4,49.6,0,74.28
42.22,23.85,76.15,4.8,2.01,54.36,45.64,0,71.11
51.87,21.11,78.89,3.94,3.69,52.22,47.78,0,75.93
41.38,24.75,75.25,2.74,2.89,56.01,43.99,0,70.69
44.54,21.52,78.48,6.08,4.58,53.07,46.93,0,72.27
51.35,20.88,79.12,9.22,4.04,49.87,50.13,1,75.68
58.38,23.75,76.25,7.37,3.01,50.26,49.74,0,79.19
50.26,17.42,82.58,7.74,0.48,48.9,51.1,1,75.13
55.54,23.12,76.88,2.52,0.81,52.28,47.72,0,77.77
56.01,16.86,83.14,4.74,1.29,49.04,50.96,1,78.0
40.14,24.68,75.32,2.94,2.79,56.15,43.85,0,70.07
47.54,21.15,78.85,2.52,0.06,53.08,46.92,0,73.77
53.07,21.86,78.14,9.55,0.55,49.05,50.95,1,76.54
44.5,22.53,77.47,9.01,2.17,51.47,48.53,0,72.25
58.44,15.85,84.15,0.95,2.53,50.09,49.91,0,79.22
48.58,16.01,83.99,7.34,0.08,48.9,51.1,1,74.29
56.87,20.93,79.07,0.21,1.49,52.4,47.6,0,78.43
40.32,19.21,80.79,5.72,4.13,53.44,46.56,0,70.16
52.2,16.1,83.9,1.69,1.43,51.02,48.98,0,76.1
49.42,16.81,83.19,5.7,0.48,49.83,50.17,1,74.71
58.68,15.31,84.69,9.96,1.56,45.68,54.32,1,79.34
52.52,19.23,80.77,7.72,2.79,49.52,50.48,1,76.26
49.08,24.76,75.24,0.46,1.46,55.19,44.81,0,74.54
51.23,20.64,79.36,1.91,3.71,53.13,46.87,0,75.61
40.81,19.16,80.84,6.22,0.54,52.29,47.71,0,70.41
54.2,24.13,75.87,6.55,4.96,51.87,48.13,0,77.1
45.45,18.79,81.21,7.17,3.89,51.35,48.65,0,72.72
44.71,19.73,80.27,1.18,0.03,53.9,46.1,0,72.36
53.37,20.17,79.83,9.38,4.79,49.32,50.68,1,76.69
56.84,19.23,80.77,9.96,1.21,47.39,52.61,1,78.42
41.38,21.21,78.79,7.24,4.36,53.06,46.94,0,70.69
48.43,21.2,78.8,2.25,4.25,53.88,46.12,0,74.22
59.85,16.95,83.05,7.55,2.22,47.25,52.75,1,79.93
57.26,16.91,83.09,7.36,3.67,48.09,51.91,1,78.63
51.93,16.46,83.54,7.18,1.96,48.78,51.22,1,75.97
51.63,22.29,77.71,1.63,4.84,53.96,46.04,0,75.81
45.55,17.91,82.09,4.83,3.41,52.08,47.92,0,72.78
56.78,15.57,84.43,5.36,3.71,48.6,51.4,1,78.39
48.09,23.75,76.25,4.26,4.62,53.9,46.1,0,74.05
59.32,17.73,82.27,0.33,2.0,50.77,49.23,0,79.66
51.33,19.73,80.27,4.06,1.56,51.38,48.62,0,75.66
40.69,22.16,77.84,1.21,3.62,56.33,43.67,0,70.35
45.98,16.5,83.5,2.96,2.4,52.22,47.78,0,72.99
46.82,20.41,79.59,7.94,0.42,50.48,49.52,0,73.41
40.33,21.33,78.67,0.94,4.92,56.6,43.4,0,70.17
48.93,21.73,78.27,3.96,1.31,52.54,47.46,0,74.46
46.5,19.65,80.35,3.75,3.87,53.02,46.98,0,73.25
49.42,21.83,78.17,6.85,1.84,51.23,48.77,0,74.71
52.78,24.93,75.07,5.85,0.01,51.75,48.25,0,76.39
42.65,20.67,79.33,7.17,0.93,51.92,48.08,0,71.32
54.29,16.45,83.55,4.63,3.48,49.73,50.27,1,77.15
49.08,24.1,75.9,5.88,0.28,52.18,47.82,0,74.54
53.22,20.97,79.03,9.52,4.3,49.46,50.54,1,76.61
48.74,19.01,80.99,4.36,0.72,51.38,48.62,0,74.37
50.51,19.79,80.21,7.39,4.31,50.57,49.43,0,75.26
49.83,23.7,76.3,6.38,0.35,51.69,48.31,0,74.91
58.63,20.19,79.81,1.54,4.6,51.78,48.22,0,79.32
58.66,21.84,78.16,1.2,1.99,52.04,47.96,0,79.33
58.65,20.84,79.16,0.35,2.63,52.17,47.83,0,79.32
54.09,15.86,84.14,5.9,1.94,48.69,51.31,1,77.05
42.06,15.14,84.86,1.79,4.75,53.88,46.12,0,71.03
44.38,24.45,75.55,5.1,0.27,53.58,46.42,0,72.19
56.63,16.52,83.48,0.97,3.64,50.93,49.07,0,78.32
47.63,23.07,76.93,3.49,2.9,53.79,46.21,0,73.81
59.45,19.94,80.06,9.12,3.36,47.96,52.04,1,79.73
56.81,22.78,77.22,5.27,4.56,51.41,48.59,0,78.41
45.27,21.12,78.88,1.02,3.97,55.1,44.9,0,72.64
53.13,24.38,75.62,0.48,0.83,54.12,45.88,0,76.57
47.6,23.51,76.49,2.84,3.44,54.36,45.64,0,73.8
52.94,23.3,76.7,2.8,4.3,53.4,46.6,0,76.47
49.53,17.34,82.66,0.33,2.06,52.82,47.18,0,74.76
57.0,19.89,80.11,2.84,0.41,50.62,49.38,0,78.5
57.66,24.02,75.98,5.17,4.96,51.83,48.17,0,78.83
42.9,17.89,82.11,9.15,0.55,49.99,50.01,1,71.45
52.62,19.6,80.4,5.99,2.92,50.45,49.55,0,76.31
46.31,22.55,77.45,6.4,0.59,52.04,47.96,0,73.16
43.25,16.92,83.08,9.15,3.09,50.15,49.85,0,71.63
47.59,19.29,80.71,2.15,3.53,53.35,46.65,0,73.8
57.31,21.05,78.95,9.0,1.41,48.43,51.57,1,78.66
55.4,21.56,78.44,8.34,4.88,49.92,50.08,1,77.7
56.47,24.48,75.52,8.61,3.54,50.4,49.6,0,78.24
46.23,18.84,81.16,3.56,4.26,52.99,47.01,0,73.11
46.76,24.14,75.86,7.73,2.28,52.17,47.83,0,73.38
52.22,21.65,78.35,9.58,3.96,49.78,50.22,1,76.11
57.53,21.3,78.7,0.17,2.22,52.56,47.44,0,78.77
53.89,17.3,82.7,8.25,0.29,47.85,52.15,1,76.94
41.68,17.3,82.7,9.73,4.88,50.73,49.27,0,70.84
49.77,18.74,81.26,1.01,2.03,52.9,47.1,0,74.88
46.55,19.68,80.32,3.13,1.36,52.8,47.2,0,73.27
42.89,19.35,80.65,7.27,4.44,52.17,47.83,0,71.45
50.19,15.55,84.45,4.58,2.39,50.15,49.85,0,75.1
52.35,15.21,84.79,4.76,3.67,49.71,50.29,1,76.18
41.25,20.77,79.23,7.85,3.92,52.57,47.43,0,70.62
50.22,23.39,76.61,8.69,0.84,50.53,49.47,0,75.11
54.66,22.07,77.93,2.32,1.65,52.33,47.67,0,77.33
45.85,22.66,77.34,0.51,4.22,55.74,44.26,0,72.93
42.31,19.23,80.77,4.98,2.58,53.0,47.0,0,71.16
49.03,15.39,84.61,0.99,3.42,52.26,47.74,0,74.51
50.12,21.17,78.83,0.76,2.11,53.77,46.23,0,75.06
42.09,16.74,83.26,9.65,4.76,50.47,49.53,0,71.05
56.91,15.67,84.33,6.09,3.32,48.21,51.79,1,78.46
44.61,21.48,78.52,1.83,1.5,54.46,45.54,0,72.3
51.55,19.69,80.31,0.72,4.62,53.47,46.53,0,75.78
47.58,15.82,84.18,2.43,3.07,52.0,48.0,0,73.79
54.61,22.86,77.14,3.6,4.86,52.66,47.34,0,77.31
48.25,15.36,84.64,3.93,1.38,50.64,49.36,0,74.12
49.25,16.02,83.98,9.98,4.78,48.47,51.53,1,74.63
59.39,18.87,81.13,9.55,4.91,47.68,52.32,1,79.69
52.59,20.31,79.69,8.39,2.27,49.47,50.53,1,76.29
58.9,24.6,75.4,1.32,2.62,53.08,46.92,0,79.45
51.34,20.5,79.5,8.5,0.7,49.42,50.58,1,75.67
50.35,15.19,84.81,6.93,0.55,48.53,51.47,1,75.17
48.18,20.35,79.65,2.1,2.4,53.35,46.65,0,74.09
55.5,18.99,81.01,7.59,2.58,48.88,51.12,1,77.75
51.56,20.74,79.26,7.22,3.38,50.57,49.43,0,75.78
54.99,18.33,81.67,2.57,1.6,50.82,49.18,0,77.49
51.95,23.82,76.18,6.83,0.82,51.23,48.77,0,75.98
59.75,18.43,81.57,4.2,3.87,49.6,50.4,1,79.88
57.45,23.36,76.64,4.91,3.9,51.54,48.46,0,78.72
59.19,24.6,75.4,1.31,4.54,53.4,46.6,0,79.59
45.47,23.37,76.63,9.12,0.99,51.24,48.76,0,72.73
58.59,17.12,82.88,6.81,1.57,47.76,52.24,1,79.3
43.16,21.02,78.98,9.72,1.96,50.89,49.11,0,71.58
43.21,21.91,78.09,8.45,1.89,51.76,48.24,0,71.61
45.73,21.56,78.44,0.83,3.91,55.2,44.8,0,72.87
55.49,24.09,75.91,8.82,0.64,49.77,50.23,1,77.74
49.33,23.07,76.93,5.7,1.86,52.2,47.8,0,74.67
50.66,20.44,79.56,6.25,2.46,50.92,49.08,0,75.33
53.65,16.2,83.8,6.0,1.32,48.74,51.26,1,76.83
52.68,15.75,84.25,0.58,3.41,51.69,48.31,0,76.34
42.97,17.61,82.39,2.28,1.11,53.37,46.63,0,71.48
57.55,23.48,76.52,5.3,4.96,51.6,48.4,0,78.77
50.42,20.23,79.77,2.37,1.43,52.5,47.5,0,75.21
41.08,18.39,81.61,4.59,3.09,53.35,46.65,0,70.54
58.24,19.7,80.3,0.18,1.16,51.63,48.37,0,79.12
52.03,21.63,78.37,2.1,1.9,52.85,47.15,0,76.01
57.59,18.22,81.78,2.71,3.0,50.44,49.56,0,78.79
49.12,21.39,78.61,7.62,1.28,50.67,49.33,0,74.56
40.82,22.22,77.78,0.39,2.64,56.52,43.48,0,70.41
58.63,23.84,76.16,3.41,0.99,51.62,48.38,0,79.32
52.85,17.41,82.59,1.56,2.82,51.66,48.34,0,76.43
59.63,20.78,79.22,8.27,2.59,48.47,51.53,1,79.81
59.96,17.76,82.24,8.63,4.06,47.4,52.6,1,79.98
55.42,22.89,77.11,1.94,0.39,52.4,47.6,0,77.71
51.54,20.88,79.12,4.38,1.43,51.55,48.45,0,75.77
43.42,16.59,83.41,1.8,0.88,53.13,46.87,0,71.71
50.68,21.7,78.3,8.6,2.08,50.17,49.83,0,75.34
59.58,17.45,82.55,4.33,1.5,48.76,51.24,1,79.79
50.18,22.98,77.02,1.44,4.72,54.56,45.44,0,75.09
48.25,17.97,82.03,2.03,0.15,52.14,47.86,0,74.13
51.92,15.13,84.87,7.55,3.99,48.56,51.44,1,75.96
40.35,20.56,79.44,4.33,4.28,54.54,45.46,0,70.18
54.46,20.47,79.53,5.52,0.41,50.11,49.89,0,77.23
47.91,18.98,81.02,9.05,4.94,50.2,49.8,0,73.96
54.39,18.75,81.25,7.18,3.84,49.44,50.56,1,77.19
41.54,18.24,81.76,9.65,3.86,50.86,49.14,0,70.77
46.62,17.59,82.41,0.9,0.48,53.01,46.99,0,73.31
56.44,16.26,83.74,5.08,2.59,48.84,51.16,1,78.22
55.09,23.34,76.66,9.46,3.29,49.79,50.21,1,77.55
41.19,15.98,84.02,1.58,3.51,54.2,45.8,0,70.59
55.91,24.9,75.1,8.06,2.5,50.69,49.31,0,77.96
49.98,22.06,77.94,0.63,2.08,54.15,45.85,0,74.99
45.4,18.71,81.29,8.83,3.57,50.47,49.53,0,72.7
48.38,15.11,84.89,0.99,3.76,52.39,47.61,0,74.19
57.18,20.28,79.72,7.53,1.91,48.93,51.07,1,78.59
49.81,21.3,78.7,1.65,1.55,53.35,46.65,0,74.9
42.3,15.61,84.39,5.11,2.45,51.84,48.16,0,71.15
54.78,17.94,82.06,2.33,1.74,50.86,49.14,0,77.39
56.86,16.84,83.16,9.81,2.99,46.93,53.07,1,78.43
54.46,21.05,78.95,2.44,3.02,52.22,47.78,0,77.23
41.12,21.15,78.85,1.82,0.39,54.95,45.05,0,70.56
53.79,22.82,77.18,4.18,3.53,52.28,47.72,0,76.9
43.07,24.1,75.9,3.35,3.32,55.24,44.76,0,71.53
58.09,23.19,76.81,5.13,0.92,50.71,49.29,0,79.05
48.17,22.87,77.13,4.91,0.59,52.48,47.52,0,74.09
44.01,24.59,75.41,1.31,0.4,55.57,44.43,0,72.0
55.82,20.62,79.38,0.56,0.8,52.21,47.79,0,77.91
59.92,21.76,78.24,4.9,3.7,50.48,49.52,0,79.96
57.12,15.2,84.8,9.8,2.65,46.21,53.79,1,78.56
53.36,21.32,78.68,0.89,3.23,53.28,46.72,0,76.68
58.01,23.44,76.56,4.57,0.97,51.07,48.93,0,79.0
40.9,19.74,80.26,4.01,4.04,54.28,45.72,0,70.45
43.79,23.2,76.8,1.51,1.75,55.38,44.62,0,71.9
47.55,22.16,77.84,7.41,0.39,51.14,48.86,0,73.78
41.13,17.52,82.48,9.64,0.87,50.11,49.89,0,70.57
50.47,18.45,81.55,4.28,0.29,50.78,49.22,0,75.23
55.38,19.74,80.26,9.91,3.75,48.35,51.65,1,77.69
56.15,16.18,83.82,8.25,0.16,46.98,53.02,1,78.08
47.43,19.18,80.82,3.84,4.89,52.82,47.18,0,73.71
52.63,16.87,83.13,2.21,4.51,51.55,48.45,0,76.32
55.65,24.05,75.95,7.38,0.8,50.4,49.6,0,77.82
42.27,17.45,82.55,7.45,4.36,51.64,48.36,0,71.14
55.8,24.63,75.37,0.62,2.85,54.02,45.98,0,77.9
44.08,23.51,76.49,3.51,0.22,54.12,45.88,0,72.04
57.32,21.4,78.6,4.64,4.74,51.13,48.87,0,78.66
48.13,21.03,78.97,4.0,0.31,52.26,47.74,0,74.06
47.38,18.53,81.47,2.32,1.83,52.73,47.27,0,73.69
51.62,16.1,83.9,3.95,2.71,50.36,49.64,0,75.81
47.93,19.8,80.2,4.4,0.77,51.81,48.19,0,73.97
56.3,23.35,76.65,2.93,0.66,52.01,47.99,0,78.15
43.76,22.34,77.66,2.12,0.62,54.59,45.41,0,71.88
52.06,17.7,82.3,5.09,0.86,49.92,50.08,1,76.03
45.27,18.45,81.55,1.47,4.47,54.15,45.85,0,72.63
41.11,18.57,81.43,7.63,3.07,51.88,48.12,0,70.55
52.68,16.25,83.75,4.25,1.91,49.88,50.12,1,76.34
49.55,17.8,82.2,1.28,4.98,53.1,46.9,0,74.78
45.55,16.75,83.25,0.62,4.3,53.92,46.08,0,72.77
56.63,24.78,75.22,0.41,4.76,54.38,45.62,0,78.32
46.51,21.14,78.86,8.21,2.76,51.13,48.87,0,73.25
46.24,22.79,77.21,4.97,0.51,52.8,47.2,0,73.12
58.48,17.46,82.54,1.67,2.92,50.43,49.57,0,79.24
50.18,20.46,79.54,4.43,2.07,51.8,48.2,0,75.09
46.95,19.29,80.71,8.56,1.52,50.03,49.97,0,73.48
50.82,15.91,84.09,6.5,3.97,49.55,50.45,1,75.41
52.89,23.04,76.96,8.19,0.12,50.03,49.97,0,76.45
57.64,16.01,83.99,2.05,3.27,49.97,50.03,1,78.82
59.58,23.17,76.83,0.82,3.86,52.88,47.12,0,79.79
42.03,16.21,83.79,5.83,0.21,51.25,48.75,0,71.02
54.65,16.18,83.82,6.22,0.63,48.29,51.71,1,77.32
58.55,20.32,79.68,5.69,1.62,49.45,50.55,1,79.27
44.86,21.0,79.0,0.31,0.06,54.69,45.31,0,72.43
41.52,17.73,82.27,6.11,1.42,51.94,48.06,0,70.76
57.65,15.07,84.93,0.74,0.73,49.72,50.28,1,78.83
48.4,18.02,81.98,6.6,1.72,50.28,49.72,0,74.2
52.92,17.74,82.26,8.86,0.01,47.86,52.14,1,76.46
59.16,16.07,83.93,6.8,1.27,47.2,52.8,1,79.58
59.76,21.55,78.45,4.48,2.81,50.44,49.56,0,79.88
49.02,18.61,81.39,9.92,0.95,48.63,51.37,1,74.51
59.56,22.95,77.05,5.54,3.26,50.62,49.38,0,79.78
52.22,20.02,79.98,8.62,2.19,49.32,50.68,1,76.11
52.13,16.87,83.13,1.87,4.27,51.77,48.23,0,76.06
45.97,21.88,78.12,4.2,4.06,53.67,46.33,0,72.98
56.64,19.61,80.39,5.59,2.87,49.83,50.17,1,78.32
54.09,18.48,81.52,4.67,1.53,50.09,49.91,0,77.05
50.89,16.12,83.88,7.22,2.63,49.0,51.0,1,75.45
57.17,22.97,77.03,5.0,0.85,50.83,49.17,0,78.59
50.75,22.2,77.8,3.53,3.04,52.87,47.13,0,75.37
44.1,20.26,79.74,6.89,1.27,51.7,48.3,0,72.05
43.27,23.65,76.35,0.27,1.3,56.14,43.86,0,71.64
57.31,18.39,81.61,0.88,0.26,50.86,49.14,0,78.66
46.11,16.03,83.97,0.19,0.85,53.05,46.95,0,73.05
55.07,23.21,76.79,2.63,0.89,52.37,47.63,0,77.54
42.54,24.0,76.0,3.04,1.95,55.19,44.81,0,71.27
49.46,20.12,79.88,0.52,4.54,54.16,45.84,0,74.73
40.06,23.51,76.49,6.57,4.31,54.34,45.66,0,70.03
46.99,21.48,78.52,7.9,3.24,51.39,48.61,0,73.5
49.36,17.52,82.48,7.8,3.45,49.7,50.3,1,74.68
40.8,22.03,77.97,9.87,4.53,52.16,47.84,0,70.4
47.35,19.15,80.85,0.27,0.61,53.65,46.35,0,73.68
47.87,21.43,78.57,3.17,1.45,53.07,46.93,0,73.94
59.55,21.25,78.75,3.83,1.84,50.47,49.53,0,79.77
41.92,17.18,82.82,4.19,1.61,52.67,47.33,0,70.96
43.14,20.79,79.21,5.23,1.45,52.91,47.09,0,71.57
41.35,20.99,79.01,4.95,3.54,53.96,46.04,0,70.68
53.11,24.68,75.32,4.87,2.64,52.57,47.43,0,76.55
41.98,15.81,84.19,8.0,4.55,51.0,49.0,0,70.99
59.23,15.21,84.79,8.42,1.6,46.22,53.78,1,79.62
40.05,20.79,79.21,6.33,2.19,53.23,46.77,0,70.02
47.83,21.07,78.93,1.48,1.14,53.7,46.3,0,73.92
53.78,21.71,78.29,4.99,0.34,50.91,49.09,0,76.89
58.94,18.98,81.02,6.71,2.4,48.58,51.42,1,79.47
44.22,24.78,75.22,8.36,2.67,52.63,47.37,0,72.11
58.65,16.77,83.23,4.48,4.41,49.18,50.82,1,79.32
52.87,18.92,81.08,5.7,1.17,49.96,50.04,1,76.43
47.53,20.26,79.74,8.09,3.05,50.75,49.25,0,73.77
54.31,20.65,79.35,6.56,3.53,50.34,49.66,0,77.16
43.91,22.8,77.2,8.63,1.19,51.65,48.35,0,71.96
50.48,24.66,75.34,4.03,1.96,53.31,46.69,0,75.24
41.3,24.43,75.57,3.12,4.75,56.14,43.86,0,70.65
46.84,16.36,83.64,4.11,0.23,50.98,49.02,0,73.42
43.61,19.36,80.64,5.7,0.58,51.97,48.03,0,71.8
58.05,19.41,80.59,9.26,0.39,47.39,52.61,1,79.02
44.5,16.81,83.19,6.34,1.37,50.83,49.17,0,72.25
51.25,23.59,76.41,4.93,1.8,52.35,47.65,0,75.63
59.39,23.53,76.47,4.43,3.96,51.48,48.52,0,79.69
53.74,21.26,78.74,9.82,2.03,48.89,51.11,1,76.87
40.06,24.12,75.88,6.0,1.21,54.14,45.86,0,70.03
43.1,17.96,82.04,3.28,0.75,52.88,47.12,0,71.55
42.19,20.62,79.38,3.88,4.53,54.39,45.61,0,71.09
42.98,19.36,80.64,8.21,1.52,51.08,48.92,0,71.49
49.01,20.8,79.2,8.3,4.28,50.78,49.22,0,74.51
48.31,19.54,80.46,7.67,1.83,50.31,49.69,0,74.15
56.96,21.14,78.86,2.35,1.99,51.6,48.4,0,78.48
45.3,16.07,83.93,5.34,3.4,51.31,48.69,0,72.65
45.19,18.16,81.84,7.86,2.66,50.63,49.37,0,72.59
58.9,21.12,78.88,8.94,2.48,48.41,51.59,1,79.45
40.07,19.17,80.83,8.37,2.16,51.74,48.26,0,70.03
46.45,22.94,77.06,7.25,4.37,52.5,47.5,0,73.23
55.98,21.4,78.6,8.74,1.32,48.89,51.11,1,77.99
42.31,21.48,78.52,6.58,3.41,53.06,46.94,0,71.15
46.24,22.19,77.81,3.12,4.09,54.23,45.77,0,73.12
40.9,16.32,83.68,1.56,0.52,53.75,46.25,0,70.45
59.89,19.8,80.2,7.95,1.37,47.97,52.03,1,79.94
54.75,24.51,75.49,1.76,0.7,53.25,46.75,0,77.37
51.87,21.31,78.69,4.13,4.44,52.34,47.66,0,75.94
56.38,18.45,81.55,2.09,2.52,50.97,49.03,0,78.19
56.47,20.39,79.61,7.37,3.48,49.46,50.54,1,78.24
49.48,18.63,81.37,1.9,3.41,52.79,47.21,0,74.74
50.93,15.35,84.65,9.43,1.3,47.44,52.56,1,75.47
47.5,24.08,75.92,4.64,3.64,53.75,46.25,0,73.75
46.82,20.27,79.73,3.09,3.48,53.38,46.62,0,73.41
45.48,15.74,84.26,8.08,3.66,49.9,50.1,1,72.74
56.91,16.35,83.65,1.66,0.69,49.93,50.07,1,78.45
40.87,23.94,76.06,7.0,4.29,54.07,45.93,0,70.44
48.36,17.77,82.23,7.77,0.16,49.34,50.66,1,74.18
